author_id,name,country,community,citation_count
https://openalex.org/A5074777044,Kishore Vasan,US,11,0
https://openalex.org/A5090242279,Milán Janosov,DE,1,0
https://openalex.org/A5023775697,Brian Guay,US,15,0
https://openalex.org/A5046790968,Giulia Menichetti,US,1,0
https://openalex.org/A5076067124,Babak Ravandi,US,1,0
https://openalex.org/A5064987258,Dariush Mozaffarian,US,1,0
https://openalex.org/A5041499491,Michael N. Stagnaro,US,2,0
https://openalex.org/A5063647785,James N. Druckman,US,12,0
https://openalex.org/A5021501103,Antonio A. Arechar,MX,2,0
https://openalex.org/A5014466973,Robb Willer,US,2,0
https://openalex.org/A5003678652,Eivind Almaas,NO,1,0
https://openalex.org/A5102924506,András Lukács,HU,1,0
https://openalex.org/A5042847942,Balázs Rácz,HU,1,0
https://openalex.org/A5052184691,István Szakadát,HU,1,0
https://openalex.org/A5045629242,Bélâ Suki,US,6,0
https://openalex.org/A5058910452,Kenneth R. Lutchen,US,6,0
https://openalex.org/A5028448267,David R. Karger,US,5,0
https://openalex.org/A5068591642,Tom Heath,FR,19,0
https://openalex.org/A5078151375,Lee Feigenbaum,US,19,0
https://openalex.org/A5089236260,Diana Maynard,GB,19,0
https://openalex.org/A5068408717,Enrico Motta,GB,19,0
https://openalex.org/A5060617658,Krishnaprasad Thirunarayan,US,19,0
https://openalex.org/A5018066582,Reuven Cohen,IL,6,0
https://openalex.org/A5066371574,Nehemia Schwartz,IL,6,0
https://openalex.org/A5075151889,Daniel ben‐Avraham,US,6,0
https://openalex.org/A5090303125,Shlomo Havlin,IL,6,0
https://openalex.org/A5036278905,Christian Bird,US,20,0
https://openalex.org/A5090966134,Adrian Bachmann,CH,20,0
https://openalex.org/A5076172404,Foyzur Rahman,US,20,0
https://openalex.org/A5036744986,Prémkumar Dévanbu,US,20,0
https://openalex.org/A5021537631,Mark Klein,CH,34,0
https://openalex.org/A5073875709,Vincent D. Blondel,BE,1,0
https://openalex.org/A5063648924,Vishal Sanwalani,US,0,0
https://openalex.org/A5036635872,Bailey Klinger,US,8,0
https://openalex.org/A5064297795,César A. Hidalgo,HU,8,0
https://openalex.org/A5034550995,Ricardo Hausmann,US,8,0
https://openalex.org/A5022534788,Darcy Davis,US,21,0
https://openalex.org/A5068157871,Nitesh V. Chawla,US,21,0
https://openalex.org/A5038895553,Cristian Jara-Figueroa,US,8,0
https://openalex.org/A5075717967,Cristián Candia,CL,8,0
https://openalex.org/A5002723139,Carlos Rodríguez‐Sickert,CL,8,0
https://openalex.org/A5022713919,Stuart R. Borrett,US,15,0
https://openalex.org/A5029191515,James Moody,US,0,0
